date,avg_price_gbp
2010-03-01,2.54
2010-04-01,2.54
2010-05-01,2.54
2010-06-01,2.54
2010-07-01,2.65
2010-08-01,2.65
2010-09-01,2.65
2010-10-01,2.53
2010-11-01,2.53
2010-12-01,2.53
2011-01-01,2.46
2011-02-01,2.46
2011-03-01,2.46
2011-04-01,2.42
2011-05-01,2.42
2011-06-01,2.42
2011-07-01,2.43
2011-08-01,2.43
2011-09-01,2.43
2011-10-01,2.36
2011-11-01,2.36
2011-12-01,2.36
2012-01-01,2.42
2012-02-01,2.42
2012-03-01,2.46
2012-04-01,2.46
2012-05-01,2.46
2012-06-01,2.46
2012-07-01,2.45
2012-08-01,2.45
2012-09-01,2.45
2012-10-01,2.37
2012-11-01,2.37
2012-12-01,2.37
2013-01-01,2.38
2013-02-01,2.38
2013-03-01,2.38
2013-04-01,2.41
2013-05-01,2.41
2013-06-01,2.41
2013-07-01,2.42
2013-08-01,2.42
2013-09-01,2.42
2013-10-01,2.4
2013-11-01,2.4
2013-12-01,2.4
2014-01-01,2.4
2014-02-01,2.4
2014-03-01,2.4
2014-04-01,2.37
2014-05-01,2.37
2014-06-01,2.37
2014-07-01,2.38
2014-08-01,2.38
2014-09-01,2.38
2014-10-01,2.42
2014-11-01,2.42
2014-12-01,2.42
2015-01-01,2.41
2015-02-01,2.41
2015-03-01,2.47
2015-04-01,2.48
2015-05-01,2.48
2015-06-01,2.48
2015-07-01,2.47
2015-08-01,2.47
2015-09-01,2.47
2015-10-01,2.48
2015-11-01,2.48
2015-12-01,2.48
2016-01-01,2.44
2016-02-01,2.44
2016-03-01,2.44
2016-04-01,2.44
2016-05-01,2.44
2016-06-01,2.41
2016-07-01,2.4
2016-08-01,2.4
2016-09-01,2.4
2016-10-01,2.41
2016-11-01,2.41
2016-12-01,2.41
2017-01-01,2.39
2017-02-01,2.39
2017-03-01,2.39
2017-04-01,2.39
2017-05-01,2.39
2017-06-01,2.39
2017-07-01,2.4
2017-08-01,2.37
2017-09-01,2.37
2017-10-01,2.4
2017-11-01,2.4
2017-12-01,2.45
2018-01-01,2.42
2018-02-01,2.42
2018-03-01,2.42
2018-04-01,2.38
2018-05-01,2.38
2018-06-01,2.46
2018-07-01,2.5
2018-08-01,2.54
2018-09-01,2.54
2018-10-01,2.52
2018-11-01,2.5
2018-12-01,2.5
2019-01-01,2.51
2019-02-01,2.51
2019-03-01,2.51
2019-04-01,2.54
2019-05-01,2.54
2019-06-01,2.61
2019-07-01,2.62
2019-08-01,2.66
2019-09-01,2.66
2019-10-01,2.68
2019-11-01,2.68
2019-12-01,2.68
2020-01-01,2.7
2020-02-01,2.7
2020-03-01,2.7
2020-04-01,2.65
2020-05-01,2.65
2020-06-01,2.69
2020-07-01,3.15
2020-08-01,3.21
2020-09-01,3.21
2020-10-01,2.87
2020-11-01,2.87
2020-12-01,2.87
2021-01-01,2.89
2021-02-01,2.89
2021-03-01,2.89
2021-04-01,2.93
2021-05-01,2.93
2021-06-01,2.93
2021-07-01,2.87
2021-08-01,2.87
2021-09-01,2.87
2021-10-01,2.82
2021-11-01,2.82
2021-12-01,2.82
2022-01-01,2.78
2022-02-01,2.78
2022-03-01,2.78
2022-04-01,2.77
2022-05-01,2.77
2022-06-01,2.77
2022-07-01,2.84
2022-08-01,2.84
2022-09-01,2.84
2022-10-01,2.86
2022-11-01,3.0
2022-12-01,3.1
2023-01-01,3.18
2023-02-01,3.18
2023-03-01,3.18
2023-04-01,3.06
2023-05-01,3.06
2023-06-01,3.06
2023-07-01,3.14
2023-08-01,3.14
2023-09-01,3.14
2023-10-01,3.11
2023-11-01,3.11
2023-12-01,3.11
2024-01-01,3.39
2024-02-01,3.59
2024-03-01,3.64
2024-04-01,3.81
2024-05-01,3.81
2024-06-01,3.81
2024-07-01,3.84
2024-08-01,3.81
2024-09-01,3.81
2024-10-01,3.95
2024-11-01,3.95
2024-12-01,3.95
2025-01-01,3.99
2025-02-01,3.99
2025-03-01,4.02
2025-04-01,3.93
2025-05-01,4.06
2025-06-01,4.06
2025-07-01,4.06
2025-08-01,4.06
